Id,Headline,Political,Sensationalism,Framing,Stereotyping
708,घटनाक्रममा सीमावर्ती बजारमा कारोबार घटेपछि व्यापारी असन्तुष्ट,0,0,0,0
709,कृषि अनुदान वितरणमा पारदर्शिता माग; सम्बन्धमा थप छलफल सुरु,0,0,0,0
710,आलोचनापछि स्थानीय विकास योजना बारे सरोकारवालाको चासो,0,0,1,0
711,"घटनापछि, राहत नपुगेपछि पीडितको आक्रोश चुलियो",0,1,1,0
712,घटनाक्रममा युवा कलाकारलाई अवसर नदिएको भन्दै आयोजकमाथि सवाल,0,0,1,0
713,"आज सार्वजनिक जानकारीअनुसार, पहिरोले गाउँको बाटो काटेपछि जनजीवन असर परेको",0,0,0,0
714,"स्थानीय तहको विवरण: आज सार्वजनिक जानकारीअनुसार, सरकारले साना उद्योगलाई कर छुट दिने प्रस्ताव अघि बढायो",0,0,0,0
715,"अनुगमनपछि, प्रहरीले साइबर अपराधविरुद्ध विशेष अभियान सुरु गर्‍यो",0,0,1,0
716,यातायात सम्बन्धी सामाजिक सञ्जालमा फैलिएको दाबी विवादमा,0,0,0,0
717,अनुगमनको क्रममा संगीत कार्यक्रमको टिकट महँगो भएपछि दर्शक असन्तुष्ट ,0,0,0,0
718,निर्णयपछि भवन निर्माणमा मापदण्ड पालना नगरेको दाबी ,0,0,0,0
719,स्थानीयवासी ले नयाँ कार्यक्रमबाट राहतको अपेक्षा गरे,0,0,0,0
720,"घटनाक्रममा पछिल्लो विवरणअनुसार, विपद् व्यवस्थापनमा सरकारको तयारी कमजोर भएको दाबी",0,0,1,0
721,"घटनाक्रममा स्थानीय स्रोतका अनुसार, पहिरोले सडक बगाएपछि यातायात पूर्ण रूपमा ठप्प",0,0,0,0
722,पछिल्लो घटनामा सडकमा एकपछि अर्को दुर्घटनाले यात्रुमा त्रास ,0,1,0,0
723,"घटनापछि, सीमावर्ती बजारमा तस्करी नियन्त्रणका लागि संयुक्त गस्ती",0,0,0,0
724,घटनाक्रममा कामदारमाथि अन्याय भएको बताउँदै उद्योग अगाडि प्रदर्शन,0,0,0,0
725,"नयाँ निर्णयसँगै, हिमाली क्षेत्रमा अचानक मौसम बिग्रिँदा पदयात्री अलपत्र",0,1,0,0
726,"अनुगमनको क्रममा बैठकपछि, अल्पसंख्यक समुदायलाई लक्षित टिप्पणीप्रति विरोध",0,0,1,0
727,सरकारको पर्यटन योजना सफल हुने मन्त्रीको दाबी,0,0,0,0
728,नगरपालिकाले खानेपानी पाइप विस्तारको काम अघि बढायो ,0,0,0,0
729,यात्रु ले नयाँ कार्यक्रमबाट राहतको अपेक्षा गरे,0,0,0,0
730,अनुगमनको क्रममा कर बढेपछि उद्योगीले सरकारी नीतिप्रति असन्तुष्टि बताए ,1,0,1,0
731,"छलफलपछि, चाडपर्वमा सुरक्षा व्यवस्था कडा पारियो",0,0,0,0
732,सरकारको प्रविधि योजना सफल हुने मन्त्रीको दाबी,0,0,0,0
733,कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो : स्थानीय तहलाई आवश्यक निर्देशन दिइएको छ,0,0,0,0
734,प्रविधि संकट गहिरिँदै गएको विज्ञको चेतावनी,0,0,0,0
735,"स्थानीय तहको विवरण: छलफलपछि, वृद्ध नागरिकले सामाजिक सुरक्षा भत्ता बढाउन माग गरे",0,0,0,0
736,स्थानीय बासिन्दाहरू लाई रोजगारी योजना को मुख्य जिम्मेवार पक्षका रूपमा चित्रण,0,0,0,0
737,"स्थानीय तहमा आज सार्वजनिक विवरणमा, अँध्यारो सडकमा दुर्घटनाको जोखिम बढेको स्थानीयको असन्तुष्टि,",0,0,1,0
738,"यसैबीच, स्थानीय विवरणअनुसार, ठगीको खबर फैलिएपछि सामाजिक सञ्जालमा हल्ला",0,0,0,0
739,"बैठकपछि, खेलाडी छनोटमा पारदर्शिता नभएको भन्दै प्रश्न उठ्यो",0,0,1,0
740,"बैठकपछि, तस्करीको घटनाले सीमाक्षेत्रमा ठूलो सनसनी",0,1,0,0
741,"पछिल्लो घटनाक्रम: घटनापछि, कारखाना बन्द हुँदा सयौँ श्रमिकको आम्दानी रोकियो",0,0,0,0
742,सहरका मानिस गाउँको समस्या नबुझ्ने आरोप,0,0,0,0
743,"घटनाक्रममा सम्बन्धित निकायका अनुसार, खेलाडीलाई कमजोर ठान्ने टिप्पणीपछि प्रशिक्षक विवादमा",0,0,0,0
744,मन्त्रीको निर्णयले यात्रुलाई ठूलो राहत पुगेको दाबी ,0,0,0,0
745,"यसैबीच, बेरोजगारी बढेपछि युवामा भविष्यबारे चिन्ता ",0,0,0,0
746,घटनाक्रममा होटलमा ग्राहक नआएपछि व्यवसायी निराश ,0,0,0,0
747,"कृषि अनुदान वितरणमा पारदर्शिता माग, कार्यान्वयनका लागि कार्यदल गठन बताइएको छ",0,0,0,0
748,"पछिल्लो घटनाक्रम: सम्बन्धित निकायका अनुसार, सार्वजनिक यातायातको नयाँ रुटले यात्राको समय घटायो",0,0,0,0
749,स्थानीय तहको विवरण: सडक मर्मत ढिलो भएपछि स्थानीयले जनप्रतिनिधिसँग सवाल गरे ,0,0,0,0
750,घटनाक्रममा धान उत्पादन बढेपछि किसानमा उत्साह ,0,0,0,0
751,"यसैबीच, स्थानीय स्रोतका अनुसार, सहकारी बचतकर्ताले रकम फिर्ताको माग गर्दै प्रदर्शन गरे",0,0,0,0
752,पछिल्लो घटनाक्रम: खेलाडी छनोटमा पक्षपात भएको बताउँदै प्रश्न,0,0,0,0
753,"यसैबीच, अनुगमनपछि, खेल संघले राष्ट्रिय प्रतियोगिताको मिति सार्वजनिक गर्‍यो",0,0,0,0
754,"निर्णयपछि स्थानीय विवरणअनुसार, विपक्षी दलले स्वास्थ्य बजेट अपर्याप्त भएको भन्दै सरकारको आलोचना गर्‍यो",1,0,1,0
755,नयाँ संग्रहालय खुलेपछि सांस्कृतिक पर्यटनमा आशा ,0,0,0,0
756,स्थानीय तहको विवरण: साहित्य महोत्सवमा लेखकहरूले अभिव्यक्ति स्वतन्त्रताबारे बहस गरे ,0,0,0,0
757,"सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी, कार्यान्वयनका लागि कार्यदल गठन का लागि पहल",0,0,0,0
758,आलोचनापछि कृषि कार्यक्रम बारे बहस सुरु,0,0,1,0
759,"छलफलपछि, विपक्षी दलले यातायात नीति असफल भएको आरोप लगायो",1,0,1,0
760,"पछिल्लो विवरणअनुसार, सरकारले सामाजिक सुरक्षा भत्ता समायोजन गर्ने तयारी",0,0,0,0
761,"नयाँ तथ्य सार्वजनिक: नयाँ निर्णयसँगै, सरकारले आलोचनालाई बेवास्ता गर्दै योजना अघि बढाएको आरोप",1,0,1,0
762,स्थानीय तहका उपप्रमुखहरूको अधिकार कटौती गरिएको भन्दै तीव्र आक्रोश ,0,0,1,0
763,"नयाँ तथ्य सार्वजनिक: आज सार्वजनिक विवरणमा, असिनाले फलफूलमा क्षति पुर्‍याएपछि किसान चिन्तित",0,0,0,0
764,"नयाँ तथ्य सार्वजनिक: छलफलपछि, उद्योग क्षेत्रमा लगानी बढेपछि व्यवसायी उत्साहित",0,0,0,0
765,"घटनाक्रममा बैठकपछि, पहाडी क्षेत्रमा जथाभावी सडक खन्दा पहिरोको जोखिम",0,0,0,0
766,"पछिल्लो घटनाक्रम: बैठकपछि, सुक्खा बढेपछि खानेपानीको माग चुलियो",0,1,0,0
767,स्थानीय तहको विवरण: शहरको मुख्य चोकमा पानी जम्दा आवागमन असर परेको ,0,0,0,0
768,"सम्बन्धित निकायका अनुसार, तरकारी व्यापारीमाथि कालोबजारीको दाबी",0,0,0,0
769,"किसानले उत्पादनको उचित मूल्य मागे, समस्या समाधान गर्न पहल थालिएको छ का लागि पहल",0,0,0,0
770,"आज सार्वजनिक जानकारीअनुसार, विमानस्थल व्यवस्थापनमा लापरबाही भएको यात्रुको दाबी",0,0,0,0
771,"घटनाक्रममा स्थानीय स्रोतका अनुसार, कलाकारको नयाँ सिर्जनाले कला क्षेत्रमा ठूलो हलचल",0,0,0,0
772,"अनुगमनपछि, भूकम्पको धक्कापछि पुराना घरमा चर्किएका भित्ता",0,0,0,0
773,सरकारले निर्वाचन प्रक्रिया प्रभावित गर्न खोजेको विपक्षीको आरोप,1,0,0,0
774,"छलफलपछि, हिमाली क्षेत्रमा अचानक मौसम बिग्रिँदा पदयात्री अलपत्र",0,1,0,0
775,सरकारको निर्णयले जनतालाई ठूलो राहत पुग्ने सत्तापक्षको दाबी,0,0,0,0
776,"छलफलपछि, डढेलो फैलिँदा जंगलमा भयावह अवस्था",0,1,0,0
777,निर्णयपछि केन्द्रीय बैंकले मौद्रिक नीतिमा केही व्यवस्था परिवर्तन गर्‍यो,0,0,0,0
778,घटनाक्रममा पानीको अभावले महिलाको दैनिक श्रम बढेको अध्ययन ,0,0,0,0
779,"स्थानीय तहमा बैठकपछि, चुनावी प्रचारमा नेताहरूले मतदातासँग नयाँ प्रतिबद्धता बताए,",0,0,0,0
780,"छलफलपछि, प्रहरीले साइबर अपराधविरुद्ध विशेष अभियान सुरु गर्‍यो",0,0,1,0
781,"यसैबीच, सम्बन्धित निकायका अनुसार, नयाँ एम्बुलेन्स थपिएपछि आकस्मिक सेवा सहज हुने अपेक्षा",0,0,0,0
782,"यसैबीच, पछिल्लो विवरणअनुसार, युवा खेलाडीलाई राष्ट्रिय टोलीमा अवसर",0,0,0,0
783,अनुगमनको क्रममा लोडसेडिङ फर्किएको हल्लाले उपभोक्तामा अनावश्यक त्रास ,0,1,0,0
784,"छलफलपछि, पर्यटकहरू स्थानीय नियम पालना नगर्ने गरेको आरोप",0,0,0,0
785,घटनाक्रममा खानेपानी आयोजना वर्षौँदेखि अलपत्र परेको स्थानीयको गुनासो ,0,0,0,0
786,नयाँ तथ्य सार्वजनिक: सीमावर्ती बजारमा कारोबार घटेपछि व्यापारी असन्तुष्ट ,0,0,0,0
787,"पछिल्लो विवरणअनुसार, उडान रद्द हुँदा विमानस्थलमा यात्रुको बिचल्ली",0,0,0,0
788,"पछिल्लो घटनामा नयाँ निर्णयसँगै, कृषि उपज बिक्री नभएपछि किसानले घाटा व्यहोर्नुपरेको असन्तुष्टि",0,0,1,0
789,घटनाक्रममा विद्युत् प्राधिकरणले मर्मतपछि आपूर्ति सामान्य भएको बताएको छ,0,0,0,0
790,अनुगमनको क्रममा विपक्षी दलले स्वास्थ्य बजेट अपर्याप्त भएको भन्दै सरकारको आलोचना गर्‍यो ,1,0,1,0
791,"स्थानीय तहमा पार्क निर्माणपछि बालबालिकाका लागि नयाँ स्थान उपलब्ध ,",0,0,0,0
792,नयाँ विवरणअनुसार कर नीति भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
793,"स्थानीय विवरणअनुसार, अस्पतालको लापरबाहीले बिरामीको ज्यान जोखिममा परेको आरोप",0,0,0,0
794,आलोचनापछि पूर्वाधार आयोजना बारे मिश्रित प्रतिक्रिया,0,0,1,0
795,निर्णयपछि ट्याक्सी चालकले नयाँ नियमप्रति असन्तुष्टि बताए ,0,0,1,0
796,"निर्णयपछि पछिल्लो विवरणअनुसार, शिक्षक संघले शिक्षा नीतिलाई व्यवहारिक नभएको दाबी लगायो",0,0,0,0
797,श्रमिकहरू काममा ढिलासुस्ती गर्ने आरोपप्रति युनियनको आपत्ति ,0,0,0,0
798,"नयाँ तथ्य सार्वजनिक: घटनापछि, मन्त्रीले नयाँ स्वास्थ्य कार्यक्रमलाई महत्वपूर्ण उपलब्धि भएको दाबी गरे",0,0,0,0
799,"यसैबीच, सम्बन्धित निकायका अनुसार, विद्युत् प्राधिकरणले मर्मतपछि आपूर्ति सामान्य भएको जनाएको छ",0,0,0,0
800,"छलफलपछि, स्वास्थ्यकर्मीमाथि दुर्व्यवहार बढेको भन्दै सुरक्षा माग",0,0,1,0
801,स्थानीय तहको विवरण: पहाडी क्षेत्रमा जथाभावी सडक खन्दा पहिरोको जोखिम ,0,0,0,0
802,पछिल्लो घटनामा लामो समय विद्युत् अवरुद्ध हुँदा उद्योगमा करोडौँको क्षति भएको दाबी ,0,0,0,0
803,"नयाँ निर्णयसँगै, विद्यार्थीहरू अनुशासनहीन बन्दै गएको टिप्पणी विवादमा",0,0,0,1
804,प्रदूषण नियन्त्रण गर्न असफल भएको भन्दै वातावरणविद्हरूद्वारा सरकारको आलोचना ,1,0,1,0
805,"अनुगमनपछि, राजमार्गमा दुर्घटना बढेपछि ट्राफिक प्रहरीले निगरानी थपेको छ",0,0,0,0
806,"सम्बन्धित निकायका अनुसार, किसानले उचित मूल्य नपाएको भन्दै बजारमा विरोध गरे",0,0,1,0
807,"सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए, बारे मन्त्रालयले जानकारी दिएको छ का लागि पहल",0,0,0,0
808,"यसैबीच, शहरको मुख्य चोकमा पानी जम्दा आवागमन प्रभावित — आजको अपडेट",0,0,0,0
809,निर्णयपछि सरकारले ज्येष्ठ नागरिक भत्ता समायोजन गर्ने तयारी ,0,0,0,0
810,"छलफलपछि, अल्पसंख्यक समुदायलाई लिएर नेताको टिप्पणी विवादमा",0,0,0,0
811,"घटनाक्रममा छलफलपछि, सरकारले सामुदायिक विद्यालयको भवन निर्माणका लागि अनुदान बढायो",0,0,0,0
812,नयाँ तथ्य सार्वजनिक: औषधि नपाएपछि बिरामीका आफन्त अस्पताल प्रशासनसँग आक्रोशित,0,1,1,0
813,"निर्णयपछि अनुगमनपछि, राजमार्गमा दुर्घटना बढेपछि ट्राफिक प्रहरीले निगरानी बढायो",0,0,0,0
814,डिजिटल भुक्तानीले ग्रामीण बजारमा कारोबार सहज बनायो ,0,0,0,0
815,"यसैबीच, सम्बन्धित निकायका अनुसार, खेलाडी छनोटमा पारदर्शिता नभएको भन्दै प्रश्न उठ्यो",0,0,1,0
816,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, सरोकारवालासँग परामर्श जारी बताइएको छ",0,0,0,0
817,"घटनाक्रममा सम्बन्धित निकायका अनुसार, पर्यटकहरू स्थानीय संस्कृतिको सम्मान नगर्ने गरेको आरोप",0,0,0,0
818,"बैठकपछि, कामदारहरू मेहनतबाट टाढिँदै गएको आरोपप्रति ट्रेड युनियनको आपत्ति",0,0,0,0
819,"यसैबीच, पछिल्लो विवरणअनुसार, सरकारको नीतिविरुद्ध विद्यार्थी संगठनले प्रदर्शन गरे",0,0,1,0
820,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, प्रभावबारे विज्ञले अध्ययन आवश्यक बताएका छन् का लागि पहल",0,0,0,0
821,"घटनाक्रममा नयाँ निर्णयसँगै, विपक्षी दलले नयाँ कर नीतिलाई जनतामाथिको बोझ भएको आरोप लगायो",1,0,0,0
822,"यसैबीच, आज सार्वजनिक विवरणमा, खानेपानी आयोजना वर्षौँदेखि अलपत्र परेको स्थानीयको असन्तुष्टि",0,0,1,0
823,"सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी, भोलिदेखि लागू गर्ने तयारी जनाइएको छ",0,0,0,0
824,"कृषि अनुदान वितरणमा पारदर्शिता माग, भोलिदेखि लागू गर्ने तयारी हुने अपेक्षा",0,0,0,0
825,निर्णयपछि वन कार्यालयले अवैध काठ कटानी नियन्त्रणका लागि गस्ती थपेको छ ,0,0,0,0
826,"घटनाक्रममा स्थानीय विवरणअनुसार, सरकारले सामुदायिक विद्यालयको भवन निर्माणका लागि अनुदान थपेको छ",0,0,0,0
827,युवाहरू का मानिसहरू युवा नीति बाट सबैभन्दा बढी प्रभावित हुने दाबी,0,0,0,1
828,"यसैबीच, नयाँ निर्णयसँगै, सीमानाकामा सुरक्षा जाँच कडा पारियो",0,0,0,0
829,"यसैबीच, सडक निर्माणको ढिलाइप्रति स्थानीय जनप्रतिनिधिमाथि दबाब ",0,0,0,0
830,"सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए, सम्बन्धमा थप छलफल सुरु का लागि पहल",0,0,0,0
831,प्रवासी श्रमिकहरू सम्बन्धी पुरानो धारणा स्वास्थ्य योजना को बहसमा फेरि दोहोरियो,0,0,0,0
832,नयाँ तथ्य सार्वजनिक: चुनावी प्रचारमा नेताहरूले मतदातासँग नयाँ प्रतिबद्धता बताए ,0,0,0,0
833,"सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी, सरोकारवालासँग परामर्श जारी बताइएको छ",0,0,0,0
834,"अनुगमनपछि, सरकारले कृषि बीमामा अनुदान थप्ने घोषणा गर्‍यो",0,0,0,0
835,बैंकिङ क्षेत्रमा देखिएको समस्याले अर्थतन्त्र डुब्ने खतरा,0,0,0,0
836,"घटनाक्रममा नयाँ निर्णयसँगै, सरकारले आलोचनालाई बेवास्ता गर्दै योजना अघि बढाएको दाबी",1,0,1,0
837,श्रम स्वीकृति लिने लाइनमा देखिएको लामो सास्ती र दलालको चलखेल,0,0,0,0
838,"आज सार्वजनिक जानकारीअनुसार, सरकारले विद्यालय पोषण कार्यक्रमका लागि बजेट बढायो",0,0,0,0
839,"यसैबीच, युवा पुस्ता मेहनत गर्नै नचाहने टिप्पणीप्रति आलोचना ",0,0,1,0
840,नयाँ विवरणअनुसार रोजगारी योजना भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
841,नयाँ निर्णयले यातायात क्षेत्रमा ठूलो परिवर्तन ल्याउने दाबी,0,0,0,0
842,"निर्णयपछि बैठकपछि, सुरक्षाकर्मीले प्रदर्शनकारीमाथि बल प्रयोग गरेको आरोप",0,0,0,0
843,सवालपत्र चुहावटको खबरले शिक्षाक्षेत्रमा सनसनी,0,1,0,0
844,अनलाइन ठगी बढेपछि बैंक ग्राहक त्रसित ,0,1,0,0
845,आलोचनापछि संसद् बैठक बारे सरोकारवालाको चासो,0,0,1,0
846,वृद्ध नागरिकले सामाजिक सुरक्षा भत्ता बढाउन माग गरे,0,0,0,0
847,कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो; बारे मन्त्रालयले जानकारी दिएको छ,0,0,0,0
848,स्वास्थ्य योजना सम्बन्धी नयाँ विवरण सार्वजनिक भयो,0,0,0,0
849,नयाँ तथ्य सार्वजनिक: फोहोरले नदीको अवस्था भयावह बनेको भन्दै अभियानकर्ता चिन्तित ,0,1,1,0
850,"नयाँ तथ्य सार्वजनिक: सम्बन्धित निकायका अनुसार, सरकारले स्थानीय स्वास्थ्य केन्द्रमा प्रयोगशाला सेवा विस्तार गर्ने निर्णय गर्‍यो",0,0,0,0
851,"नयाँ निर्णयसँगै, विद्यालयमा विज्ञान प्रयोगशाला स्थापना भएपछि विद्यार्थी उत्साहित",0,0,0,0
852,"स्थानीय तहमा नयाँ निर्णयसँगै, पर्यटकको भीडले प्रमुख गन्तव्यमा मच्चियो ठूलो चहलपहल,",0,1,0,0
853,"नयाँ निर्णयसँगै, विपक्षी दलले यातायात नीति असफल भएको दाबी लगायो",1,0,1,0
854,नीतिले पूर्वाधार क्षेत्रलाई बेवास्ता गरेको आलोचना,0,0,1,0
855,"बैठकपछि, समर्थकको आक्रोशले रंगशालामा तनाव",0,0,1,0
856,स्थानीय तहको विवरण: विद्यार्थीहरू पढाइमा गम्भीर नहुने बताउँदै आलोचना ,0,0,1,0
857,"नयाँ निर्णयसँगै, विपक्षी दलले नयाँ कर नीतिलाई जनतामाथिको बोझ भएको आरोप लगायो",1,0,0,0
858,पछिल्लो घटनामा लोडसेडिङको हल्लाले उपभोक्तामा अनावश्यक त्रास ,0,1,0,0
859,"स्थानीय तहमा नयाँ निर्णयसँगै, तस्करी नियन्त्रणमा सुरक्षा निकायले सफलता पाएको दाबी,",0,0,0,0
860,"स्थानीय तहको विवरण: छलफलपछि, शहरको मुख्य चोकमा पानी जम्दा आवागमन प्रभावित",0,0,0,0
861,"यसैबीच, प्रहरीले साइबर अपराधविरुद्ध विशेष अभियान सुरु गर्‍यो ",0,0,1,0
862,अनुगमनको क्रममा सरकारले खेल पूर्वाधारका लागि बजेट बढायो ,0,0,0,0
863,घटनाक्रममा पर्यटन पूर्वाधार कमजोर भएको व्यवसायीको गुनासो ,0,0,1,1
864,घटनाक्रममा लगातार हारपछि प्रशिक्षकमाथि दबाब,0,0,0,0
865,सडक मर्मत ढिलो भएपछि स्थानीयले जनप्रतिनिधिसँग सवाल गरे ,0,0,0,0
866,आलोचनापछि संसद् बैठक बारे मिश्रित प्रतिक्रिया,0,0,1,0
867,"स्थानीय विवरणअनुसार, जंगली जनावर बस्तीमा पस्दा स्थानीयमा त्रास",0,0,0,0
868,"निर्णयपछि बैठकपछि, महिला उद्यमीले स्थानीय उत्पादनको नयाँ बजार खोजिन्",0,0,0,0
869,घोषणापछि निर्वाचन तयारी बारे थप अध्ययन आवश्यक,0,0,0,0
870,घटनाक्रममा ट्याक्सी चालकले नयाँ नियमप्रति असन्तुष्टि जनाए ,0,0,1,0
871,यातायात क्षेत्रमा समस्या समाधान नभए अवस्था गम्भीर हुने चेतावनी,0,0,0,0
872,छलफलबीच निर्वाचन तयारी बारे थप अध्ययन आवश्यक,0,0,0,0
873,"अनुगमनपछि, कलेज शुल्क बढेपछि विद्यार्थी संगठन आन्दोलित",0,0,0,0
874,"घटनाक्रममा छलफलपछि, नगरपालिकाले नयाँ पार्क निर्माणको ठेक्का सम्झौता गर्‍यो",0,0,0,0
875,घटनाक्रममा असिनाले फलफूलमा क्षति पुर्‍याएपछि किसान चिन्तित ,0,0,0,0
876,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, समस्या समाधान गर्न पहल थालिएको छ को तयारी",0,0,0,0
877,"यसैबीच, छलफलपछि, भवन निर्माणमा मापदण्ड पालना नगरेको आरोप",0,0,0,0
878,सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए; प्रभावबारे विज्ञले अध्ययन आवश्यक बताएका छन्,0,0,0,0
879,"अनुगमनपछि, विपक्षी दलले यातायात नीति असफल भएको दाबी लगायो",1,0,1,0
880,"बैठकपछि, ठगीको खबर फैलिएपछि सामाजिक सञ्जालमा हल्ला",0,0,0,0
881,घटनाक्रममा फोहोरको थुप्रो देखेर स्थानीयमा आक्रोश ,0,0,1,0
882,"नयाँ निर्णयसँगै, वृद्धहरूलाई डिजिटल स्वास्थ्य सेवा प्रयोग गर्न कठिन भएको गुनासो",0,0,0,0
883,"वातावरण संरक्षण योजना मा अप्रत्याशित मोड, अब के होला?",0,0,0,0
884,"अनुगमनको क्रममा अनुगमनपछि, विपक्षी दलले स्वास्थ्य बजेट अपर्याप्त भएको बताउँदै सरकारको आलोचना गर्‍यो",1,0,1,0
885,"स्थानीय तहमा लोडसेडिङको हल्लाले उपभोक्तामा अनावश्यक त्रास ,",0,1,0,0
886,"नयाँ तथ्य सार्वजनिक: छलफलपछि, साइबर अपराधीको गिरोह सक्रिय भएको बताउँदै त्रास",0,1,0,0
887,घटनाक्रममा अनलाइन ठगीको जालो फैलिँदा सर्वसाधारण त्रसित ,0,1,0,0
888,"पछिल्लो घटनामा आज सार्वजनिक विवरणमा, व्यापारीले माग घटेको भन्दै बिक्री कमजोर भएको जनाए",0,0,1,0
889,नयाँ तथ्य सार्वजनिक: अँध्यारो सडकमा दुर्घटनाको जोखिम बढेको स्थानीयको असन्तुष्टि ,0,0,1,0
890,कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो : सरोकारवालासँग परामर्श जारी,0,0,0,0
891,"छलफलपछि, स्थानीय समुदायलाई संरक्षणमा सहभागी गराउने तयारी",0,0,0,0
892,"यसैबीच, पछिल्लो विवरणअनुसार, सडकमा एकपछि अर्को दुर्घटनाले यात्रुमा त्रास",0,1,0,0
893,किसानहरू का मानिसहरू स्थानीय विकास योजना बाट सबैभन्दा बढी प्रभावित हुने दाबी,0,0,0,1
894,"बैठकपछि, कृषकहरू नयाँ प्रविधि सिक्नै नचाहने आरोप",0,0,0,0
895,खेलाडी छनोटमा नातावाद भएको दाबी,0,0,0,0
896,"स्थानीय तहको विवरण: बैठकपछि, युवा पुस्ता मेहनत गर्नै नचाहने टिप्पणीप्रति आलोचना",0,0,1,0
897,अनलाइन ठगीको जालो फैलिँदा सर्वसाधारण त्रसित ,0,1,0,0
898,"घटनाक्रममा घटनापछि, प्रश्नपत्र चुहावटको खबरले शिक्षाक्षेत्रमा सनसनी",0,1,0,0
899,पूर्वाधार क्षेत्रमा समस्या समाधान नभए अवस्था गम्भीर हुने चेतावनी,0,0,0,0
900,"स्थानीय तहमा फोहोरले नदीको अवस्था भयावह बनेको भन्दै अभियानकर्ता चिन्तित ,",0,1,1,0
901,"नयाँ निर्णयसँगै, नयाँ विमानस्थल सञ्चालनमा आएपछि क्षेत्रीय सम्पर्क सहज",0,0,0,0
902,"अनुगमनको क्रममा नयाँ निर्णयसँगै, विद्यार्थीहरू पढाइमा गम्भीर नहुने बताउँदै आलोचना",0,0,1,0
903,"सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी, कार्यान्वयनका लागि कार्यदल गठन हुने अपेक्षा",0,0,0,0
904,सहकारी पीडितहरूको आन्दोलनका कारण राजधानीको यातायात प्रभावित,0,0,0,0
905,अनुगमनको क्रममा फोहोरको थुप्रो देखेर स्थानीयमा आक्रोश ,0,0,1,0
906,किसान माथि विभेदपूर्ण टिप्पणीप्रति सामाजिक अभियन्ताको आपत्ति,0,0,0,0
907,"घटनाक्रममा स्थानीय स्रोतका अनुसार, व्यापारीले माग घटेको भन्दै बिक्री कमजोर भएको जनाए",0,0,1,0
908,पर्यटन क्षेत्रमा विदेशी पाहुनामाथि निर्भरता बढेको चिन्ता,0,0,0,0
909,"कृषि अनुदान वितरणमा पारदर्शिता माग, प्रति सरोकारवालाले मिश्रित प्रतिक्रिया दिएका छन्",0,0,0,0
910,घटनाक्रममा बाढीले खानेपानीको मुख्य पाइप बगाएपछि सेवा अवरुद्ध ,0,0,0,0
911,"घटनापछि, औषधि नपाएपछि बिरामीका आफन्त अस्पताल प्रशासनसँग आक्रोशित",0,1,1,0
912,घोषणापछि महिला उद्यम कार्यक्रम बारे थप अध्ययन आवश्यक,0,0,0,0
913,"अनुगमनको क्रममा छलफलपछि, सडक बत्ती नहुँदा राति दुर्घटनाको जोखिम बढेको स्थानीयको भनाइ",0,0,0,0
914,"आज सार्वजनिक जानकारीअनुसार, सार्वजनिक यातायातमा महिलाको सुरक्षाबारे नयाँ अध्ययन",0,0,0,0
915,"स्थानीय तहमा स्थानीय स्रोतका अनुसार, विद्यार्थीहरू पढाइमा ध्यानै नदिने भएको दाबी सामाजिक सञ्जालमा,",0,0,0,0
916,हिमाल क्षेत्रमा हिमपात नपर्दा कृषि उत्पादन घट्ने चिन्ता,0,0,0,0
917,चिकित्सा शिक्षा आयोगको प्रवेश परीक्षामा देखिएको अनियमितताविरुद्ध विद्यार्थी आन्दोलन ,0,0,1,0
918,"स्थानीय तहको विवरण: स्थानीय विवरणअनुसार, फोहोरले नदीको अवस्था भयावह बनेको भन्दै चेतावनी",0,0,1,0
919,"स्थानीय तहमा सरकारले आलोचनालाई बेवास्ता गर्दै योजना अघि बढाएको आरोप,",1,0,1,0
920,सरकारको जलस्रोत आयोजना निर्णयप्रति विपक्षीको तीव्र असन्तुष्टि,1,0,1,0
921,"पछिल्लो घटनामा घटनापछि, स्थानीय अस्पतालमा नयाँ एम्बुलेन्स सेवा थपियो",0,0,0,0
922,"स्थानीय तहमा नयाँ निर्णयसँगै, बेरोजगारी बढेपछि युवामा भविष्यबारे चिन्ता,",0,0,0,0
923,"स्थानीय तहमा आज सार्वजनिक विवरणमा, साना उद्योगलाई कर छुट दिने प्रस्ताव मन्त्रिपरिषद्मा पेश,",0,0,0,0
